countyFIPS,State,2020_total,2021_total,2022_total
13137,GA,13476,60083,96047
13139,GA,29526,180483,307094
13141,GA,8705,24773,32488
13143,GA,2288,30114,62525
13145,GA,4351,23637,41260
13147,GA,2255,19448,36011
13149,GA,1203,8804,19761
13151,GA,18584,128231,249116
13153,GA,15563,99470,181882
13155,GA,1121,10485,18188
13157,GA,6466,57671,105097
13159,GA,608,14016,26777
13161,GA,3362,16677,26352
13163,GA,4425,24965,40566
13165,GA,5309,16684,24243
13167,GA,3536,18160,27178
13169,GA,1963,22921,40556
13171,GA,3314,22883,42171
13173,GA,1163,4686,8982
13175,GA,11599,66475,110451
13177,GA,6728,22331,37770
13179,GA,3441,27643,54928
13181,GA,1182,9635,13044
13183,GA,628,5636,12428
13185,GA,13142,80029,143359
13187,GA,2477,28179,47630
13189,GA,3006,19365,36626
13191,GA,1019,7064,13561
13193,GA,2473,12106,18397
13195,GA,1831,20464,39685
13197,GA,1467,9013,18499
13199,GA,2394,30507,52703
13201,GA,206,5039,10857
13205,GA,10807,30699,42846
13207,GA,8788,39653,63423
13209,GA,972,9698,19164
13211,GA,646,10905,24284
13213,GA,2090,34886,68200
13215,GA,28401,174761,300889
13217,GA,14434,94812,165311
13219,GA,4973,25466,38655
13221,GA,2332,11359,20687
13223,GA,10272,86129,157403
13225,GA,4170,25634,48791
13227,GA,1947,29325,61145
13229,GA,3491,24174,47845
13231,GA,1800,16238,35282
13233,GA,3795,38631,70786
13235,GA,2892,16746,28280
13237,GA,4842,22576,38462
13239,GA,261,955,1595
13241,GA,1631,18461,35716
13243,GA,6706,12965,17487
13245,GA,29083,190381,324286
13247,GA,7254,65150,116871
13249,GA,405,1871,3788
13251,GA,1992,13090,25313
13253,GA,1672,7169,11232
13255,GA,11920,76459,151449
13257,GA,5908,31256,57697
13259,GA,2331,9016,12354
13261,GA,14442,39108,61637
13263,GA,1204,7228,11880
13265,GA,0,925,1244
13267,GA,1978,26279,48641
13269,GA,1747,9950,18805
13271,GA,3348,21059,30885
13273,GA,7623,17626,24199
13275,GA,13005,49173,77732
13277,GA,10934,48722,80439
13279,GA,7252,44987,73244
13281,GA,1984,21604,40970
13283,GA,1519,12242,22945
13285,GA,17739,86319,139157
13287,GA,4840,14459,21980
13289,GA,1538,16413,25377
13291,GA,3831,31359,57899
13293,GA,13370,48810,85896
13295,GA,6288,37032,88802
13297,GA,11426,95367,158008
13299,GA,10334,66743,102712
13301,GA,745,6650,10993
13303,GA,1956,31263,49807
13305,GA,4798,38772,75337
13307,GA,434,1594,3087
13309,GA,1861,9658,14067
13311,GA,3435,32544,59323
13313,GA,11322,94530,159818
13315,GA,4846,16596,25387
13317,GA,959,10143,18935
13319,GA,3134,11239,21152
13321,GA,6765,25826,42700
0,HI,214,1656,19074
15001,HI,3140,26718,70895
15003,HI,21171,170766,396204
15005,HI,0,0,0
15007,HI,37,1606,11584
15009,HI,2591,22317,51077
0,ID,7,18,0
16001,ID,30226,200343,375799
16003,ID,240,2238,5510
16005,ID,2667,46179,91732
16007,ID,123,2053,5928
16009,ID,394,4800,14759
16011,ID,2718,30568,57790
16013,ID,1692,7137,11086
16015,ID,253,1565,4954
16017,ID,412,21126,67568
16019,ID,5725,65098,104329
16021,ID,273,6615,22721
16023,ID,0,686,3640
16025,ID,0,93,703
16027,ID,18431,131409,250545
16029,ID,620,5086,10392
16031,ID,1573,10811,19346
16033,ID,0,0,285
16035,ID,113,6141,12271
16037,ID,119,1334,3167
16039,ID,901,8783,24995
16041,ID,376,6495,10713
16043,ID,777,5373,10119
16045,ID,784,16000,29133
16047,ID,934,10542,20470
16049,ID,555,8210,19159
16051,ID,780,11711,23449
16053,ID,1750,11071,23624
16055,ID,8061,94609,218981
16057,ID,150,6296,18190
16059,ID,422,4255,9589
16061,ID,303,4512,10486
16063,ID,475,4127,5428
16065,ID,630,10582,18788
16067,ID,1524,13026,23120
16069,ID,6052,24406,53764
16071,ID,24,1830,4037
16073,ID,1064,11356,18955
16075,ID,1748,15690,31549
16077,ID,266,3719,7181
16079,ID,2646,15309,27875
16081,ID,164,1636,3195
16083,ID,10958,55858,106975
16085,ID,195,2633,5825
16087,ID,1195,10150,20771
0,IL,145,9454,1796117
17001,IL,4203,59714,85249
17003,IL,278,3893,5497
17005,IL,1327,11760,14049
17007,IL,6463,32485,45216
17009,IL,317,4816,6823
17011,IL,3767,37926,51804
17013,IL,52,2029,2811
17015,IL,2228,13847,18226
17017,IL,2578,13309,15811
17019,IL,6730,61853,110483
17021,IL,4301,35334,48049
17023,IL,1632,15559,21042
17025,IL,1620,17625,25892
17027,IL,6968,38437,45378
17029,IL,7446,39503,64226
17031,IL,1268808,4015516,4487976
17033,IL,1182,17206,21905
17035,IL,1361,12095,16755
17037,IL,7866,46941,73785
17039,IL,1153,14499,18100
17041,IL,1581,14884,21559
17043,IL,140076,498146,647848
17045,IL,1703,24723,29213
17047,IL,204,5531,10547
17049,IL,1968,34117,54660
17051,IL,3108,22364,37122
17053,IL,2184,23359,28893
17055,IL,2055,37280,65462
17057,IL,896,24943,47895
17059,IL,375,2264,6494
17061,IL,2451,19202,21897
17063,IL,2182,29706,51303
17065,IL,385,7542,12422
17067,IL,1192,16119,21084
17069,IL,140,5131,7889
17071,IL,159,6398,8168
17073,IL,1966,35465,50961
17075,IL,3935,26130,43435
17077,IL,5939,31749,49758
17079,IL,2155,7729,11825
17081,IL,8576,46601,64911
17083,IL,2776,25949,31614
17085,IL,1413,10733,15008
17087,IL,438,9741,17593
17089,IL,79022,312113,425598
17091,IL,19016,84822,137246
17093,IL,7234,39811,61498
17095,IL,4872,65316,86088
17097,IL,117035,397867,532171
17099,IL,14551,113562,161556
17101,IL,1148,13863,18358
17103,IL,2379,34412,39540
17105,IL,2750,37738,54136
17107,IL,1548,28872,36579
17109,IL,4767,23659,38294
17111,IL,28799,118641,182694
17113,IL,6950,85033,121979
17115,IL,13049,84483,132398
17117,IL,2718,47009,63210
17119,IL,32810,232086,321335
17121,IL,4133,49180,79708
17123,IL,438,8021,12559
17125,IL,1517,17849,23591
17127,IL,720,18073,27718
17129,IL,211,5856,9063
17131,IL,1281,13153,18582
17133,IL,5829,33829,46903
